CA,-,-,7.60,American IPA,(858) 618-2463,Abnormal Beer Company,8586182463,Debut IPA,7,San Diego
CA,-,3.88,6.00,Dubbel,(858) 618-2463,Abnormal Beer Company,8586182463,Dubbel Avec Framboise,3,San Diego
CA,-,4.06,9.50,American Porter,(858) 618-2463,Abnormal Beer Company,8586182463,Full Pint Breakfast Porter,13,San Diego
CA,-,-,8.30,American Double / Imperial IPA,(858) 618-2463,Abnormal Beer Company,8586182463,I'll Take The Ee-Pah,4,San Diego
CA,-,-,7.30,Saison / Farmhouse Ale,(858) 618-2463,Abnormal Beer Company,8586182463,Living The Dream,0,San Diego
CA,-,3.99,5.90,American Pale Ale (APA),(858) 618-2463,Abnormal Beer Company,8586182463,Lunch Meeting,2,San Diego
CA,-,4.65,9.00,Oatmeal Stout,(858) 618-2463,Abnormal Beer Company,8586182463,M2,2,San Diego
CA,-,4.59,5.10,American Stout,(858) 618-2463,Abnormal Beer Company,8586182463,Mostra Mocha Coconut Stout,1,San Diego
CA,-,-,5.10,American Stout,(858) 618-2463,Abnormal Beer Company,8586182463,Mostra Mocha Stout,5,San Diego
CA,-,-,?,Saison / Farmhouse Ale,(858) 618-2463,Abnormal Beer Company,8586182463,Peach Saison,0,San Diego
CA,-,3.69,6.00,Rye Beer,(858) 618-2463,Abnormal Beer Company,8586182463,Randezvous IPA W/ Blueberries,1,San Diego
CA,-,4.05,6.00,American IPA,(858) 618-2463,Abnormal Beer Company,8586182463,Rendezvious IPA,3,San Diego
CA,-,3.9,5.70,Saison / Farmhouse Ale,(858) 618-2463,Abnormal Beer Company,8586182463,SD Peach Party!,2,San Diego
CA,-,3.94,6.30,American Porter,(858) 618-2463,Abnormal Beer Company,8586182463,Sweet Sassy Molassy,1,San Diego
CA,-,3.93,10.00,American Double / Imperial IPA,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,AA Meeting,5,San Diego
CA,-,3.63,6.50,Rye Beer,(619) 299-2537,Acoustic Ales Brewing Experiment,6192992537,Back In GSSR,19,San Diego
